human,reply
THank you for you time brother.,Sure sir/mamFrom the worldlink web application/app: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username. From the worldlink mobile app/application: Open your mobile app/application Tap in main router >> WAN>> in the bottom tap in forgot password?reset request After taping the forgot password?reset request button you will receive the message with the code. The code is six digit.
🤑️🤑️🤑️,Welcome sir/mam
I am your customer and i want to watch the tv channel in the mobile app/application.,Hello sir/mam how can we assist you?
Woo thats greats.,Sure sir/mam. We have also provide the TV services in web and the mobile app.application.
How can i utilized that services?,Yes sir/mam its amazing.
Thank you for your coorporation.,"You can follow the below steps to download the app/applicationWe have come up with new Net TV Web App and Mobile App. As we are in the initial phase, channels are being added. Though all the channels are not available, you can use the available ones for now through your ISP credential.Thank you so much for your patience. We will get back to you soon. NetTv Official Facebook Page: https://www.facebook.com/TVChannelProvider/ NetTv Official Website: http://www.nettv.com.np/ Please go through this link to open NetTv Web App: https://webtv.nettv.com.np/login Please go through this link to open NetTv Mobile App: https://play.google.com/store/apps/details?id=np.com.nettv Note: This mobile app link is only for android user for now. We are working for iOS user too. Online services password is the password used to login to know your internet status, web login and mobile login. YOu can reset this password from the mobile app/application and the web app/application. From the worldlink web application/app: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username. From the worldlink mobile app/application: Open your mobile app/application Tap in main router >> WAN>> in the bottom tap in forgot password?reset request After taping the forgot password?reset request button you will receive the message with the code. The code is six digit."
Hey.,welcome sir.
Can you guide me to install the NETTV?,Hello sir/mam how can we assist you?
Yaa i did. I just received from the kapan branch.,Did you gather the NETTV box from the concern branch office?
Okay let me try. If i stuck anywhere i will again text you.,"Okay sir/mamNETTV Installation process is very simple. Here, we have added a video for our customers about ""NETTV Installation Guide"" https://www.worldlink.com.np/video_tutorials/ which will guide you step-by-step."
hi sister,Sure sir/mam
If you don't mind can you teach me to watch the nettv from the web.,Hello sir/mam how can we assist you?
Okay thank you for your support.,"Sure sir/mamYou can follow the below steps to download the app/application We have come up with new Net TV Web App and Mobile App. As we are in the initial phase, channels are being added. Though all the channels are not available, you can use the available ones for now through your ISP credential.Thank you so much for your patience. We will get back to you soon. NetTv Official Facebook Page: https://www.facebook.com/TVChannelProvider/ NetTv Official Website: http://www.nettv.com.np/ Please go through this link to open NetTv Web App: https://webtv.nettv.com.np/login Please go through this link to open NetTv Mobile App: https://play.google.com/store/apps/details?id=np.com.nettv Note: This mobile app link is only for android user for now. We are working for iOS user too. Online services password is the password used to login to know your internet status, web login and mobile login. YOu can reset this password from the mobile app/application and the web app/application. From the worldlink web application/app: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username. From the worldlink mobile app/application: Open your mobile app/application Tap in main router >> WAN>> in the bottom tap in forgot password?reset request After tapping the forgot password?reset request button you will receive the message with the code. The code is six digit."
oo what is New internet standard?,welcome sir/mam
Okay,Our new internet standard is more than just an internet package. With our new packages we tend to create more options for our growing customer demographic which will enhance our internet experience.
Hey,okay sir/mam
i want to know about the time back system of the worldink. I have read you post but i didn't understand what exatly you are trying to say?,Hello sir/mam how can we assist you?
Okay i don'r use the internet for five/5 days Can i claim this?,"We, at worldlink, always strive to provide uninterrupted internet service and value your investment. However, incase of unavoidable circumstances, we bring you the service to makeup for loss caused by internet outages or regular maintenance. We will compensate if your issues are not responded within 24 hours."
oo i got it. Thank you,No sir/mam. You can only claim when you internet is down or we may failed to provide services to you due to area issue or the outage. If you try to claim this without outages. You will be disapointed.
Hi,Welcome sir/mam
i want to compensate days that i am not able to use the internet?,Hello sir/mam how can we assist you?
I guess for the four/4 days.,For how long days you are not able to use the internet?
No i haven't.,Have you update before for the compensation?
"Well, i was out of town. I just came back. I haven't use the internet for the past 5 days. Now i want the compensation.",Haven't you receive any notice about the compensation?
So what?,"We, at worldlink, always strive to provide uninterrupted internet service and value your investment. However, incase of unavoidable circumstances, we bring you the service to makeup for loss caused by internet outages or regular maintenance. We will compensate if your issues are not responded within 24 hours."
If you cant't compensate me why did you give ads on the internet and the pages for the time back feature. Useless fellow.,You can only claim when you internet is down or we may failed to provide services to you due to area issue or the outage. If you try to claim this without outages. You will be disapointed.
😡️ 😡️ 😡️,"I repeat,You can only claim when you internet is down or we may failed to provide services to you due to area issue or the outage. If you try to claim this without outages. Beside this you will not be compensate."
oi,Okay sir/mam
My internet was down for the past one week due to the road explainsion near maitidevi. Can i get the compensation for the past 7 days.,Hello sir/mam how can we assist you?
Cool,Sure sir/mam. You will be compensate for the lost of the internet.To compensate open your mobile app: tap in home>> there you will be get the compensate button. Please tap that button and wait for the one day. 7days will be added in your account.
Hello,okay sir/mam
Can you tell me about the manage wifi  feature of the worldlink?,Hello sir/mam how can we assist you?
"Really, now we are able to check the activity of our internet?","Managed WifiWe have come up with a feature that gives you access to the list of devices connected to your router and total bandwidth usage. Furthermore, with just a small upgrade, you can get dual band router for better internet experience."
Can you guide me to check my activity.,Yes sir/mam. Now you can from the web and the mobile app.
Yes i do.,Do you use worldlink mobile app.
okay,Well open you mobile app and top in Home>>connected devices.You can also gain information about the application from thehttps://www.youtube.com/watch?v=FAXYr9C8jfs
Hello,Okay sir/mam
I want to know about the managed wifi.,Hello sir/mam how can we assist you?
Hello,"Managed WifiWe have come up with a feature that gives you access to the list of devices connected to your router and total bandwidth usage. Furthermore, with just a small upgrade, you can get dual band router for better internet experience.You can also gain information about the application from the https://www.youtube.com/watch?v=FAXYr9C8jfs"
Hey i have heard that worldllink customer get discount in many restaurant. Is that true?,Hello sir/mam how can we assist you?
I visit many of the restaurant. Can you describe me about this feature?,Yes sir/mam The thing you heard i absolutely true.
I have to register for this feature?,"Discount AppFor every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register"
What kind of user are eligible for this feature?,Yes sir/mam.
How long it will take to register?,All the worldlink user are eligible for this feature.
Okay sir,It will take about one day sir.
hi,Welcome sir/mam
Can you describe me about this  discount feature?,Hello sir/mam how can we assist you?
How long it will take to register?,"Discount AppFor every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register"
Okay sir,It will take about one day sir.
I want to know about the discount app.,Welcome sir/mam
How long it will take to register?,"Discount AppFor every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register"
Hey,It will take about one day sir.
I read on your post about the discount app.,How can we assist you sir?
I want to know about the disacount app.,Okay sir/mam Please elaborate your query sir/mam.
I am not the worldlink user. Can i also get this feature.,"Discount AppFor every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register"
Okay,You should be worldlink user to grap this feaure.
hi,Okay sir/mam
i have visited one of the restuarent. There was the free wifi of the worldink. In the time of the payment i show the discount app and requested for the discount. But they didnot give me the discount.,Hello sir/mam how can we assist you?
Thank you for your coorporation.,Please contact 9801523051 and update the issue. We will update you within 2 hour.
Hey,Welcome sir/mam
I want to know about the safenet feature. My son watch porn video all day.,Hello sir/mam how can we assist you?
woo that great. Could you please elaborate about this feture.,"Well, considering this situation wordlink has introduce safenet feature."
How can i activate this feature in my account?,"Sure sir/mamSafenet: Keeping a family cyber secure is the primary need of today's smart family. Safenet feature provides you facilities like Ad blocking, child safety, virus protection, web filtering and time management. This will help the internet a safer place for your kids and help them get the best out of it."
Can't it be usefull in mobile application/app.,This feature helps to block certain contain and the web application/app.
Okay how can i use this feature. Can i activate myself?,It can only be feasiable in the web app.
I do son.,Do you use worldink mobile app?
THnak you for your support,You can visit www.youtube.com/watch?v=sQW7lwJDFc0 to know about the safenet feature and how it work.
Hey,Welcome sir/mam
I want to block the facebook in my network. Is that possible?,Hello sir/mam how can we assist you?
How can i do that?,Yes sir/mam it is.
only in th web application why can't i block the content in th mobile app?,YOu can block but only in the web application.
Can i explore this feature myself?,Mobile app has the different prerequities as well as different secirity system as compare to the web app. We are working hard to make this feature enable for the mobile app. Please be patience.
I do son.,Do you use worldink mobile app?
okay,You can visithttps://www.youtube.com/watch?v=sQW7lwJDFc0 to know about the safenet feature and how it work.
oi 😡️😡️😡️,okay sir/mam
Hey i want to know about your feature that has been release.,Hello sir/mam how can we assist you?
You have only this feature?,"New Internet Standard(Features)Our new internet standard is more than just an internet package. With our new packages we tend to create more options for our growing customer demographic which will enhance our internet experience. Time Back: We, at worldlink, always strive to provide uninterrupted internet service and value your investment. However, incase of unavoidable circumstances, we bring you the service to makeup for loss caused by internet outages or regular maintenance. We will compensate if your issues are not responded within 24 hours. Managed Wifi: We have come up with a feature that gives you access to the list of devices connected to your router and total bandwidth usage. Furthermore, with just a small upgrade, you can get dual band router for better internet experience. Discount App: For every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register NetTV: Upgrade your TV package for more channels of you choice. You can now opt for Entertainment Prime and Sports Prime packages for more of entertainment and sports channel on demand. Also, you can go for ALL Prime packages too, to get the overall TV experience. Safenet: Keeping a family cyber secure is the primary need of today's smart family. Safenet feature provides you facilities like Ad blocking, child safety, virus protection, web filtering and time management. This will help the internet a safer place for your kids and help them get the best out of it."
"Well, i also wanted to know about the free hotspot feature.",This the latest feature we have got sir/mam. We have also lots of other feature.
Okay how can i get my online services password?,This feature helps you to joint the free wifi without geting the time limit. If you are the worldlink user with the help of the worldink username and the online services password you can connect to the wifi and use it unlimited.
Okay i got it,"There are two method to reset the passwordOne from the web app and the second mobile app. From mobile app: Open you app>> tap in home>> tap in wan>> tap in forget password You will receive the text with one minute. The text include,""Your password has been reset to"". After reset teo it consist of the 6 digit code. That 6 digit code is the online services password. From web app: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username."
😎️😎️😎️,okay sir/mam
Tell me about you standard feature.,Hello sir/mam how can we assist you?
hello worldlink,"New Internet Standard(Features)Our new internet standard is more than just an internet package. With our new packages we tend to create more options for our growing customer demographic which will enhance our internet experience. Time Back: We, at worldlink, always strive to provide uninterrupted internet service and value your investment. However, incase of unavoidable circumstances, we bring you the service to makeup for loss caused by internet outages or regular maintenance. We will compensate if your issues are not responded within 24 hours. Managed Wifi: We have come up with a feature that gives you access to the list of devices connected to your router and total bandwidth usage. Furthermore, with just a small upgrade, you can get dual band router for better internet experience. Discount App: For every rupee not spent is a rupee saved. We have introduced a discount app feature to benefit our customers. We provide privilege discounts and deals at 750+ outlets ranging from restaurants, retail stores, fitness centers, and many more. In Order to claim the discount, the users will need to show their active GO App to the respective merchants before the bill is printed. https://play.google.com/store/apps/details?id=np.com.worldlink.worldlinkgoapp . http://godiscount.com.np/client_register NetTV: Upgrade your TV package for more channels of you choice. You can now opt for Entertainment Prime and Sports Prime packages for more of entertainment and sports channel on demand. Also, you can go for ALL Prime packages too, to get the overall TV experience. Safenet: Keeping a family cyber secure is the primary need of today's smart family. Safenet feature provides you facilities like Ad blocking, child safety, virus protection, web filtering and time management. This will help the internet a safer place for your kids and help them get the best out of it."
I am searching for the good internet.,Hello sir/mam how can we assist you?
Yes i do😃️.,You want a new connection sir/mam?
I am only one user. I do lots of googling. Which one you suggest me?,We have different package for the office use and the home usages. Which one are you interested in?
I don't want NETTV I have got its alternative.,"25 Mbps 1 Month (Free NetTv Package)1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs.5,012 **Please be informed that Upload Speed will only be 20mbps.**"
Are you kidding me?,"Okay sir/mam25 Mbps 1 Month (Free NetTv Package) 1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947"
Its so expensive.,No sir/mam
Okay,That is the minimum package we have got sir/mam.
wordlink,Okay sir/mam
I want your connection.,Hello sir/mam how can we assist you?
I want only internet. Please give me the detail price of internet with least price.,You want a new connection sir/mam?
Is this a minimum price of the internet you have got?,"25 Mbps 1 Month (Free NetTv Package)1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs.5,012 **Please be informed that Upload Speed will only be 20mbps.**"
What about internet with nettv?,Yes sir/mam
Do you have internet for the differnet months?,"1 Month Packages With NetTv25 Mbps 1 Month (Free NetTv Package) 1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs.5,012 **Please be informed that Upload Speed will only be 20mbps.**"
Please give me the detail of 3 month with nettv.,Yes sir/mam We do.
Why it is so expensive Vianet and subisu internet is cheaper than yours?,"25 Mbps 3 Months (Free NetTv Package)3 Month Fee: Rs 4500 + 13% VAT: Rs  5085 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 6,715 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs. 7,780 **Please be informed that Upload Speed will only be 20mbps.**"
Can you give me the detail of 3 month 25 Mbps without NETTV.,We don't know about other ISP company sir/mam. We have got this price of the internet.
Okay,"25 Mbps 3 Months3 Month Fee: Rs 4500 + 13% VAT: Rs  5085 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 6,715"
🤑️🤑️🤑️,Okay sir/mam
Can you give me the detail price of all the internet packages you have?,Hello sir/mam how can we assist you?
Is this all the packages you have got?,"sure sir/mam1 Month Packages With NetTv: 25 Mbps 1 Month (Free NetTv Package) 1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs.5,012 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 1 Month (Free 2 NetTv Packages) 1 Month Fee: Rs 1850 + 13% VAT: Rs  2090 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs. 500(No Tax) Total  : Rs. 4,285 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total : Rs. 5,350 With 2  NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total: 7,545. **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 1 Month (Free 3 NetTv Packages) 1 Month Fee: Rs 2,000 + 13% VAT: Rs 2,260 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1,000+ 13 % VAT : Rs 1,130 Installation Charge: Free Refundable deposit: Rs 500(No Tax) Total  : Rs 4,455 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv total: Rs. 5,520 With 2  NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total: 7,715. **Please be informed that Upload Speed will only be 20mbps.** 60 Mbps 1 Month (Free 3 NetTv packages) 1 Month Fee: Rs 2700 + 13% VAT: Rs  3,051 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500(No Tax) Total  : Rs 5,246 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.6,311 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 8,506 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 10,701 **Please be informed that Upload Speed will only be 50 Mbps* 3 Month packages with NetTv 25 Mbps 3 Months (Free NetTv Package) 3 Month Fee: Rs 4500 + 13% VAT: Rs  5085 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 6,715 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs. 7,780 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 3 Months ( Free 2 NetTv Packages) 3 Month Fee: Rs 5,400 + 13% VAT: Rs.6,102 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 7,732 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs. 8,797 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv total : Rs 10,992 **Please be informed that Upload Speed will only be 20mbps** 40 Mbps 3 Months ( Free 3 NetTv Packages) 3 Month Fee: Rs 5800 + 13% VAT: Rs  6,554 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 8,184 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs. 9,249 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 11,444 With 3 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 3 NetTv total : Rs 13,639 **Please be informed that Upload Speed will only be 20mbps** 60 Mbps 3 Month (Free 3 NetTv packages) 3 Month Fee: Rs 7800 + 13% VAT: Rs  8,814 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 10,444 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.11,509 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 13,704 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 15,899 **Please be informed that Upload Speed will only be 50 Mbps* 12 Month packages With NetTv 25 Mbps 12 Months (Free 1 NetTv Package) 12 Month Fee: Rs 15000 + 13% VAT: Rs 16,950 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 18,015 With NetTv STB Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs. 19,080 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 12 Months ( Free 2 NetTv Packages) 12 Month Fee: Rs 17500 + 13% VAT: Rs 19,775 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 20,840 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs.21,905 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 24,100 **Please be informed that Upload Speed will only be 20mbps** 40 Mbps 12 Months ( Free 3 NetTv Packages) 12 Month Fee: Rs 18,500+ 13% VAT: Rs 20,905 Drop Wire: Free Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 21,970 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs.23,035 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 25,230 With 3 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 3 NetTv total : Rs 27,425 **Please be informed that Upload Speed will only be 20mbps** 60 Mbps 12 Months (Free 3 NetTv packages) 12 Month Fee: Rs 26,000 + 13% VAT: Rs 29,380 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 30,445 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.31,510 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 33,705 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 35,900 **Please be informed that Upload Speed will only be 50 Mbps*"
i will do research in the price and contact you later.,Yes sir/mam
hey,sure sir/mam
I want to know about the 12 month pakages.,Hello sir/mam how can we assist you?
what does that NETTV mean?,"12 Month packages With NetTv25 Mbps 12 Months (Free 1 NetTv Package) 12 Month Fee: Rs 15000 + 13% VAT: Rs 16,950 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 18,015 With NetTv STB Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs. 19,080 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 12 Months ( Free 2 NetTv Packages) 12 Month Fee: Rs 17500 + 13% VAT: Rs 19,775 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 20,840 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs.21,905 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 24,100 **Please be informed that Upload Speed will only be 20mbps** 40 Mbps 12 Months ( Free 3 NetTv Packages) 12 Month Fee: Rs 18,500+ 13% VAT: Rs 20,905 Drop Wire: Free Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 21,970 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs.23,035 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 25,230 With 3 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 3 NetTv total : Rs 27,425 **Please be informed that Upload Speed will only be 20mbps** 60 Mbps 12 Months (Free 3 NetTv packages) 12 Month Fee: Rs 26,000 + 13% VAT: Rs 29,380 Drop Wire: Free Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 30,445 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.31,510 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 33,705 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 35,900 **Please be informed that Upload Speed will only be 50 Mbps*"
What does that Free nettv package means?,NETTV is used to watch the tv channel through the fiber cable and help of the RJ45 cable.
Okay As you have said free. Why there is included the NETTV price in the list.?,Those free nettv package means that you will get the free nettv package or the channel or the concern interval of time.
